№,級,給料月額,扶養手当月額,地域手当月額,住居手当月額,通勤手当月額,特殊勤務手当,超過勤務手当,休日給,夜勤手当,管理職手当月額,宿日直手当,管理職員特別勤務手当,給与月額,期末手当年額（昨年度）,勤勉手当年額（昨年度）,【参考】年間給与
370,”04,395800,0,59370,0,15110,0,25375,0,0,0,0,0,495655,1301785,801098,8050743
371,”08,478200,29000,92580,9800,13786,0,0,0,0,110000,0,0,733366,1561485,1386652,11748529
372,”06,432800,47100,84315,9800,26844,0,0,0,0,82200,0,0,683059,1661069,935532,10793309
373,”05,411000,26800,65670,9800,13042,0,11295,0,0,0,0,0,537607,1431910,831863,8715057
374,”03,364200,0,54630,30100,2000,0,0,0,0,0,0,0,450930,1088957,670127,7170244
376,”03,353100,0,52965,15300,0,0,3234,0,0,0,0,0,424599,1055768,649703,6800659
377,”04,370600,26800,59610,9800,9306,0,13580,0,0,0,0,0,489696,1243628,715998,7835978
378,”03,353100,26800,56985,9800,15636,0,0,0,0,0,0,0,462321,1135900,649703,7333455
379,”03,353100,0,52965,9800,20622,0,0,0,0,0,0,0,436487,1055768,649703,6943315
380,”04,370600,14000,57690,9800,10000,1000,42771,29328,0,0,0,0,535189,1097628,649703,8169599
381,”03,353100,14000,55065,9800,12900,0,43855,27944,0,0,0,0,516664,1055768,649703,7905439
385,”04,389200,0,58380,0,0,0,59034,0,0,0,0,0,506614,1275800,785108,8140276
386,”03,364200,12800,56550,15300,2000,0,53376,0,0,0,0,0,504226,1165501,670127,7886340
387,”04,395100,0,59265,15300,2000,0,36190,0,0,0,0,0,507855,1299482,799680,8193422
388,”03,364200,0,54630,9800,7100,3150,13344,39633,10672,0,0,0,502529,1088957,670127,7789432
389,”06,420500,26800,79425,15300,11607,0,0,0,0,82200,0,0,635832,1549136,904002,10083122
390,”05,411000,29000,66000,9800,7100,0,56475,0,0,0,0,0,579375,1438488,831863,9222851
391,”05,411000,14000,63750,9800,10000,0,11295,0,14307,0,0,0,534152,1393638,831863,8635325
392,”04,395800,26800,63390,9800,4200,6300,14500,46980,10150,0,0,0,577920,1381918,801098,9118056
393,”05,411000,12800,63570,15300,2000,0,0,0,0,0,0,0,504670,1127818,0,7183858
394,”05,411000,14000,63750,9800,4200,540,11295,12198,7530,0,0,0,534313,1431910,831863,8675529
395,”06,432800,14000,79350,9800,8506,0,0,0,0,82200,0,4000,630656,1562100,935532,10065504
396,”05,411000,39600,67590,9800,4200,12700,15060,0,13554,0,0,0,573504,1455232,831863,9169143
397,”06,432800,47100,84315,15300,4200,500,0,0,0,82200,0,0,666415,1661069,935532,10593581
398,”05,411000,34600,66840,9800,4200,4800,26355,12198,10542,0,0,0,580335,1455232,831863,9251115
399,”04,395800,14000,61470,9800,12900,1440,19575,11745,7250,0,0,0,533980,1343646,801098,8552504
400,”04,395800,39600,65310,0,10000,690,28275,19575,11600,0,0,0,570850,1420190,801098,9071488
401,”03,364200,0,54630,0,2000,150,13344,39633,9338,0,0,0,483295,1088957,670127,7558624
403,”06,430900,0,76965,15300,8616,0,0,0,0,82200,0,0,613981,1513706,960621,9842099
404,”03,364200,14000,56730,15300,0,0,0,0,0,0,0,0,450230,1169089,670127,7241976
405,”07,459200,28100,86865,9800,12538,0,0,0,0,91800,0,0,688303,1726238,1010596,10996470
406,”07,442500,26800,84165,9800,5170,0,0,0,0,91800,0,0,660235,1654135,998886,10575841
407,”06,430900,0,76965,15300,3876,0,0,0,0,82200,0,0,609241,1513706,931511,9756109
408,”04,395800,0,59370,9800,14908,0,68875,0,0,0,0,0,548753,1301785,801098,8687919
409,”07,442500,0,66375,9800,7100,0,0,0,0,91800,0,0,617575,1612274,968617,9991791
410,”03,364200,12800,56550,15300,8616,0,6672,0,0,0,0,0,464138,1127229,670127,7367012
411,”07,442500,34600,85335,9800,18076,0,0,0,0,91800,0,0,682111,1635597,968617,10789546
412,”03,364200,26800,58650,0,11500,0,35496,0,0,0,0,0,496646,1207361,670127,7837240
413,”03,364200,14000,56730,15300,2000,0,0,0,0,0,0,0,452230,1130817,670127,7227704
414,”07,452311,7800,82580,15300,2000,0,0,0,0,90423,0,0,650414,1665541,1010596,10481105
415,”03,364200,7800,55800,0,0,0,0,0,0,0,0,0,427800,1112280,670127,6916007
418,”04,395800,0,59370,0,14106,0,3625,0,0,0,0,0,472901,1301785,801098,7777695
419,”06,422600,7800,76890,15300,0,0,0,0,0,82200,0,0,604790,1508488,913948,9679916
420,”06,432800,34600,82440,9800,10103,0,0,0,0,82200,0,0,651943,1623694,935532,10382542
